massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row90	225.9913	0.58	2.0454e-08	-6.1302	"225.9913_0.58"
row91	634.333	1.29	2.0974e-08	-6.1246	"634.333_1.29"
row92	897.5662	4.83	2.1842e-08	-6.1156	"897.5662_4.83"
row93	858.5203	5.13	2.3531e-08	6.099	"858.5203_5.13"
row94	858.6228	5.52	2.5325e-08	-6.0826	"858.6228_5.52"
row95	926.6106	5.52	3.2364e-08	-6.0277	"926.6106_5.52"
row96	725.5305	5.13	3.4175e-08	-6.0155	"725.5305_5.13"
row97	964.5511	4.83	3.9432e-08	-5.9833	"964.5511_4.83"
row98	877.5796	4.62	3.9794e-08	-5.9812	"877.5796_4.62"
row99	965.5538	4.83	4.0706e-08	-5.9762	"965.5538_4.83"
row100	768.554	4.83	4.2444e-08	-5.9667	"768.554_4.83"
row101	859.6265	5.52	4.4553e-08	-5.9558	"859.6265_5.52"
row102	927.612	5.52	4.6822e-08	-5.9446	"927.612_5.52"
row103	786.5649	4.93	5.0136e-08	-5.9292	"786.5649_4.93"
row104	994.5977	5.52	7.037e-08	-5.8525	"994.5977_5.52"
row105	728.551	5.49	8.4803e-08	-5.81	"728.551_5.49"
row106	778.5597	4.99	9.9515e-08	5.7736	"778.5597_4.99"
row107	554.3459	1.43	1.0442e-07	-5.7626	"554.3459_1.43"
row108	850.5605	4.56	1.1632e-07	5.7379	"850.5605_4.56"
row109	340.2352	1.96	1.357e-07	-5.7026	"340.2352_1.96"
row110	815.5997	5.35	1.4172e-07	-5.6926	"815.5997_5.35"
row111	995.6016	5.52	1.5754e-07	-5.6683	"995.6016_5.52"
row112	842.5877	5.04	1.6239e-07	-5.6613	"842.5877_5.04"
row113	843.5899	4.99	2.0132e-07	-5.6118	"843.5899_4.99"
row114	339.2317	1.96	2.2948e-07	-5.5815	"339.2317_1.96"
row115	826.5606	4.66	2.45e-07	5.5663	"826.5606_4.66"
row116	851.5636	4.56	2.4807e-07	5.5634	"851.5636_4.56"
row117	433.2349	1.15	2.6166e-07	-5.551	"433.2349_1.15"
row118	944.5625	4.62	2.6558e-07	-5.5476	"944.5625_4.62"
row119	827.5639	4.66	2.9575e-07	5.5226	"827.5639_4.66"
row120	814.5962	5.35	3.2412e-07	-5.5012	"814.5962_5.35"
row121	855.5951	5.11	3.3538e-07	5.4933	"855.5951_5.11"
row122	321.0821	0.59	3.7151e-07	-5.4694	"321.0821_0.59"
row123	919.5506	4.56	4.1623e-07	5.4428	"919.5506_4.56"
row124	922.5792	5.11	4.2112e-07	5.44	"922.5792_5.11"
row125	178.0459	0.58	4.3835e-07	-5.4306	"178.0459_0.58"
row126	1062.5837	5.52	4.7891e-07	-5.4099	"1062.5837_5.52"
row127	1100.5267	4.84	5.4874e-07	-5.3778	"1100.5267_4.84"
row128	990.5665	5.11	6.2695e-07	5.3464	"990.5665_5.11"
row129	854.592	5.12	6.499e-07	5.3379	"854.592_5.12"
row130	818.578	4.95	1.0344e-06	-5.2274	"818.578_4.95"
row131	780.5661	4.99	1.0861e-06	5.2158	"780.5661_4.99"
row132	741.5263	4.91	1.128e-06	-5.2067	"741.5263_4.91"
row133	562.3142	0.89	1.2072e-06	-5.1905	"562.3142_0.89"
row134	635.3349	1.29	1.3163e-06	-5.1697	"635.3349_1.29"
row135	595.2877	0.86	1.3586e-06	-5.1621	"595.2877_0.86"
row136	779.5632	4.99	1.4646e-06	5.144	"779.5632_4.99"
row137	592.3604	1.4	1.5094e-06	-5.1368	"592.3604_1.4"
row138	555.3489	1.43	1.6095e-06	-5.1213	"555.3489_1.43"
row139	863.5852	4.85	1.7162e-06	-5.1058	"863.5852_4.85"
row140	962.5348	4.66	2.8796e-06	4.9799	"962.5348_4.66"
row141	846.5483	4.99	3.2972e-06	4.9467	"846.5483_4.99"
row142	918.5479	4.56	3.3767e-06	4.9409	"918.5479_4.56"
row143	1054.5213	4.56	3.6547e-06	4.9214	"1054.5213_4.56"
row144	800.5445	4.33	3.729e-06	-4.9165	"800.5445_4.33"
row145	740.5229	4.91	4.1085e-06	-4.8926	"740.5229_4.91"
row146	789.5478	4.48	4.4373e-06	-4.8735	"789.5478_4.48"
row147	593.3629	1.39	4.9272e-06	-4.8476	"593.3629_1.39"
row148	895.5508	4.66	4.993e-06	4.8443	"895.5508_4.66"
row149	154.9729	4.56	5.6075e-06	-4.8154	"154.9729_4.56"
row150	1122.5105	4.56	6.005e-06	4.7983	"1122.5105_4.56"
row151	1101.527	4.84	6.1018e-06	-4.7943	"1101.527_4.84"
row152	818.5893	5.25	6.3558e-06	-4.7841	"818.5893_5.25"
row153	884.5597	4.95	6.697e-06	-4.7711	"884.5597_4.95"
row154	862.5213	5.49	6.7264e-06	-4.77	"862.5213_5.49"
row155	724.527	5.13	7.0783e-06	-4.7572	"724.527_5.13"
row156	1055.5257	4.56	8.4722e-06	4.712	"1055.5257_4.56"
